OBJECTID,INDEXKEY,STREET_NAME,ODD_LOW,ODD_HIGH,EVEN_LOW,EVEN_HIGH,LANES,CLASS,SPEED,Truck_Route,Name,Weight_res,Prefix,key2008,OneWay,Owner,Year_,Type,Inside_Outside_City,Total_Lane_Length,Prov_HGY,Designation,CityResponsibility,BlockPartyPermitted,RightofWayOwner,Priority,LEFT_LOW,LEFT_HIGH,RIGHT_LOW,RIGHT_HIGH,OK,Shape__Length
3318,S024804B,Prospect Street,,,,,3,Major Arterial,50 Km\hr,Not a Truck Route,Prospect,No Restrictions,Rue,S024804,No,DOT,1973,Through Street,,910.2753,,Designated,,No,Yes,,,,,,Y,19.1021893603518
3319,OnRamp,,,,,,1,Residential,50 Km\hr,Not a Truck Route,,No Restrictions,,OnRamp,No,DOT,1997,Through Street,,735.0577,,By Pass,,,,,,,,,,134.244227766423
3320,S003101,Blake Court ,5,29,2,20,2,Residential,50 Km\hr,Not a Truck Route,Blake,No Restrictions,Cour,,No,City,2018,Cul-de-sac,,,,,,,,,2,20,5,29,,99.9241356854073
3321,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3322,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3323,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3324,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3325,S015501,Edinburgh Street,113,173,120,180,2,Residential,50 Km\hr,Not a Truck Route,Edinburgh,Local,Rue,S015501,No,City,1959,Through Street,,354.2218,,,,Yes,,,113,173,120,180,Y,177.110904520364
3329,OnRamp,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,FT,,,,,,,,,,,,,,,,,169.655140151956
3334,,,,,,,,,50 Km\hr,Not a Truck Route,,No Restrictions,,,,,,,,,,,,,,,,,,,,
3337,,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,,,,,,,,,,,,,,,,,,197.172834442281
3340,,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,,,,,,,,,,,,,,,,,,119.220409839572
3342,OnRamp,,,,,,,Major Collector,50 Km\hr,Designated Truck Route,,No Restrictions,,,FT,DIT,2018,Through Street,,,,,,,,,,,,,,341.98906847391
