OBJECTID,Route,Direction,Shape__Length
1,12N -13S,<Null>,0.111917646750825
2,12N -13S,,0.0111098062985697
3,12N -13S,<Null>,0.0262045011198165
4,12N -13S,<Null>,0.00218359185435004
5,12N -13S,<Null>,0.00408456078440322
6,10N-11S,<Null>,0.0364183596649223
7,10N-11S,,0.00382416173264278
8,10N-11S,<Null>,0.00427746178391691
9,10N-11S,<Null>,0.0331029580405311
10,10N-11S,<Null>,0.0256160156456027
11,10N-11S,<Null>,0.00250279698274699
12,10N-11S,,0.00251802281166188
13,10N-11S,<Null>,0.00218358148283167
14,10N-11S,,0.00403051945211638
15,10N-11S,10N,0.00385329969184521
16,10N-11S,<Null>,0.00232190668521878
17,10N-11S,,0.0222417945009131
18,10N-11S,,0.00379236835390559
19,10N-11S,,0.00495043468138417
20,10N-11S,,0.0105315944815941
21,10N-11S,,0.0059096222789783
22,10N-11S,,0.00536913103034567
23,10N-11S,,0.00596815682859204
24,116-216,,0.0105305240464906
25,116-216,,0.0374148650593394
26,116-216,<Null>,0.00817685580704802
27,116-216,,0.007515100669492
28,116-216,<Null>,0.0510760752932359
29,116-216,116,0.00241370342213056
30,116-216,,0.00230202883676305
31,14N-15S,<Null>,0.0195552338321868
32,14N-15S,<Null>,0.025313677310715
33,14N-15S,14N,0.00380414089803478
34,14N-15S,15S,0.0105829498067365
35,14N-15S,,0.00740631631037773
36,14N-15S,14N,0.00718210332415438
37,14N-15S,<Null>,0.00636405631196272
38,14N-15S,<Null>,0.00361675441896815
39,14N-15S,,0.035504628157151
40,14N-15S,<Null>,0.0234527693211052
41,14N-15S,<Null>,0.00107016730413177
42,14N-15S,,0.0245345109532564
43,14N-15S,<Null>,0.0279319460579828
44,14N-15S,14N,0.0217569207220616
45,14N-15S,14N,0.0132808213896713
46,16N-17S,,0.011891984018315
47,16N-17S,<Null>,0.0047049100049605
48,16N-17S,<Null>,0.00129466726707517
49,16N-17S,<Null>,0.0010935907480866
50,16N-17S,<Null>,0.0998624341713318
51,16N-17S,<Null>,0.0139681836748426
52,16N-17S,<Null>,0.00891331807188135
53,16N-17S,,0.0285205312335143
54,16N-17S,<Null>,0.00799293876947401
55,16N-17S,,0.0100908292442725
56,14N-15S,15S,0.00897287107382023
57,14N-15S,14N,0.00625513157577985
58,14N-15S,15S,0.0103394090535059
59,14N-15S,,0.00289588257884564
60,14N-15S,,0.00774231734898647
61,14N-15S,14N,0.0112376766240466
62,14N-15S,15S,0.00702781168624372
63,14N-15S,,0.000979325409409324
64,14N-15S,,0.000968439922365055
65,14N-15S,,0.00248649563710396
66,14N-15S,,0.00205712196450954
67,14N-15S,,0.00176392487770031
68,12N -13S,,0.0198312072478017
69,14N-15S,<Null>,0.00448360421721791
70,10N-11S,,0.00371441659923966
71,16N-17S,,0.00263255260358909
72,16N-17S,,0.000709642348399143
73,16N-17S,,0.00227302229105996
74,14N-15S,<Null>,0.0153144917727857
75,10N-11S,<Null>,0.0144228762489721
76,12N -13S,<Null>,0.0147569245074511
77,14N-15S,,0.0216553346253407
78,12N -13S,<Null>,0.00475462165450177
79,10N-11S,,0.00194591742111112
80,116-216,<Null>,0.00780378632563699
81,10N-11S,,0.00722861448345088
82,116-216,,0.000793734967890885
83,116-216,,0.00275785414289727
84,10N-11S,,0.014969466928724
85,116-216,,0.0100377209444636
86,10N-11S,,0.00106533937706772
87,10N-11S,,0.00241041529478945
88,10N-11S,,0.00226992795172128
89,116-216,116,0.00170756007819635
90,16N-17S,<Null>,0.00232190837972603
91,10N-11S,,0.00148513088222444
92,116-216,116,0.00472295755999209
93,16N-17S,,0.00329037234955901
94,116-216,116,0.00319096674893904
95,16N-17S,,0.00135106210489402
96,116-216,216,0.0044021924916665
97,16N-17S,,0.00158055977467435
98,10N-11S,,0.00164729475797172
99,16N-17S,,0.00751581441935916
100,10N-11S,,0.00588273325625959
101,16N-17S,,0.00770946037160033
102,16N-17S,,0.00485985024156649
103,18,,0.115907064843859
104,12N -13S,,0.0151491986723818
105,12N -13S,,0.00984512073605853
106,18,,0.0212650171511322
107,18,,0.00551348954184929
108,20,,0.0501632392066134
109,20,,0.0319046172587105
110,20,,0.0071845548751841
111,116-216,,0.00303771657454853
112,116-216,,7.22853643725922e-05
113,20,,0.00292500831923764
114,116-216,,0.00228336578243084
115,20,,0.0104308255272349
116,20,,0.00210728334251634
117,10N-11S,,0.00234919923561699
118,10N-11S,,0.00423422354929073
119,20,,0.0112790781026498
120,20,,0.00826467003399042
121,20,,0.00562042788764226
122,18,,0.000261212036810588
